A,B,C,D,E,F,G,H,I,J,target
338,5,0,15,0,3,1,7,3,0,1
30,1,0,16,0,0,0,0,0,0,0
794,0,0,10,1,0,0,0,0,0,0
467,4,0,22,3,1,2,10,0,0,1
101,1,0,3,2,3,1,0,0,0,0
159,2,3,950,74,14,4,11,9,0,1
99,0,0,6,4,0,0,1,0,0,1
42,0,0,42,2,4,0,3,0,0,0
1,0,0,21,0,0,0,0,0,0,0
16,0,0,6,1,0,0,0,0,0,0
43,3,0,88,14,2,0,5,1,0,1
43,1,0,12,0,0,0,0,0,0,0
119,1,0,52,1,0,0,0,0,0,0
148,1,0,1,0,0,0,2,0,0,0
12,0,0,29,2,0,0,0,0,0,0
81,0,0,34,4,0,0,0,0,0,0
35,0,0,6,13,0,0,4,0,0,0
36,0,0,7,0,0,0,0,0,0,0
0,0,0,106,1,0,0,0,0,0,0
58,1,0,17,2,0,0,7,0,0,1
73,0,0,3,1,0,0,2,0,0,1
14,0,0,12,0,0,0,0,0,0,0
34,0,0,11,0,0,0,1,0,0,0
4,0,0,15,0,0,0,0,0,0,0
67,8,0,390,23,0,1,5,2,0,0
21,0,0,10,0,0,0,1,0,0,0
22,0,0,9,1,0,0,0,0,0,0
46,1,0,15,5,3,0,11,0,0,1
18,0,0,11,0,0,0,0,0,0,0
29,1,0,22,2,0,0,1,0,0,1
23,0,0,9,0,0,0,0,0,0,0
72,1,0,11,0,0,0,0,0,0,0
187,1,0,69,19,5,1,8,0,0,1
62,2,0,10,1,0,0,0,0,0,0
13,0,0,7,0,1,0,0,0,0,1
2,0,0,6,4,0,0,0,0,0,0
25,0,0,228,0,0,0,0,0,0,0
86,0,0,11,1,0,0,0,0,0,0
205,7,0,286,55,12,6,38,6,0,1
46,0,0,8,2,0,0,2,0,0,1
305,3,0,24,0,0,0,2,0,0,0
50,0,0,12,0,0,0,0,0,0,0
9,0,0,251,7,0,0,3,0,0,0
29,0,0,69,3,0,0,0,0,0,0
58,0,0,9,2,0,1,0,0,0,0
4,0,0,19,2,0,0,0,0,0,1
17,0,0,9,1,0,0,0,0,0,0
18,1,0,27,4,0,0,0,0,0,1
44,0,0,7,0,1,0,0,0,0,0
27,0,0,11,0,0,4,1,0,0,0
0,0,0,20,3,0,0,0,0,0,0
113,0,0,2,2,0,0,3,0,0,1
44,0,0,10,1,0,0,0,0,0,0
31,0,0,15,2,0,0,0,0,0,0
182,0,0,33,1,0,0,0,0,0,0
38,0,0,25,3,0,0,0,0,0,0
54,0,0,37,1,2,0,1,0,0,1
90,0,0,10,0,0,0,0,0,0,0
40,0,0,11,2,0,0,1,0,0,0
42,1,0,15,0,0,0,0,0,0,0
35,0,0,17,0,0,0,0,0,0,0
45,1,0,10,2,0,0,0,0,0,0
24,1,0,8,1,0,0,1,0,0,0
40,1,0,23,3,0,0,2,0,0,0
4,0,0,27,0,0,0,0,0,0,0
40,2,0,3,0,10,0,0,0,0,0
2,0,0,22,0,0,0,0,0,0,0
59,0,0,22,1,0,2,4,0,0,1
3,0,0,12,0,0,0,1,0,0,0
238,0,0,18,0,3,0,1,0,0,0
15,0,0,11,2,0,0,0,0,0,0
49,0,0,12,2,0,0,0,0,0,0
88,0,0,12,0,0,0,0,0,0,0
384,0,0,4,0,0,2,6,0,0,1
23,0,0,13,0,0,0,0,0,0,0
4,0,0,18,2,0,1,11,0,0,1
90,0,0,47,119,20,1,4,0,1,1
41,0,0,12,3,1,0,0,0,0,0
13,0,0,8,2,0,0,0,0,0,0
1,0,0,18,7,0,0,1,0,0,1
34,1,0,141,33,4,7,3,0,0,0
1,0,0,12,0,0,0,0,0,0,0
8,0,0,17,5,1,0,0,0,0,0
102,3,0,75,8,2,0,1,0,0,1
0,0,0,18,0,0,0,0,0,0,0
28,0,0,14,0,0,0,0,0,0,0
10,0,0,11,0,0,0,0,0,0,0
45,0,0,109,41,1,0,0,0,0,1
215,0,0,50,2,1,0,0,0,0,1
17,1,0,15,0,0,0,0,0,0,0
94,0,0,8,2,0,0,0,0,0,1
13,0,0,11,0,0,0,0,0,0,0
132,0,1,29,0,0,0,0,0,0,0
2,1,0,29,4,0,0,0,0,0,0
39,0,0,181,4,1,0,6,1,0,1
61,0,0,17,17,0,0,0,0,0,0
4,0,0,12,0,1,0,0,0,0,0
12,0,0,15,0,0,0,0,0,0,0
0,0,0,13,1,0,0,1,0,0,0
52,0,0,25,0,0,0,0,0,0,0
5,0,0,13,0,0,0,0,0,0,0
104,0,0,33,0,0,0,0,0,0,0
7,0,0,17,0,0,0,0,0,0,0
28,0,0,24,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0
16,0,0,6,0,0,0,0,0,0,0
61,0,0,8,1,1,0,1,0,0,1
7,0,0,12,4,0,0,0,0,0,0
19,1,0,23,0,0,0,1,0,0,0
11,0,0,26,1,0,1,1,0,0,1
11,0,0,9,4,0,0,0,0,0,0
38,0,0,28,0,0,0,0,0,0,1
0,0,0,14,1,0,0,0,0,0,0
17,0,0,9,0,0,0,1,0,0,0
30,0,0,11,0,0,0,0,0,0,1
13,0,0,25,0,0,0,0,0,0,0
3,0,0,18,3,0,0,1,0,0,1
337,4,0,164,2,1,1,6,0,0,0
327,1,1,1,0,0,1,11,0,0,0
38,0,0,16,0,0,0,0,0,0,0
105,0,0,0,0,0,13,1,0,0,0
16,0,0,73,10,0,0,2,0,0,1
3,0,0,9,2,0,0,0,0,0,0
